# id,solution_81chars
1,264137985519248376387569214943815762871326459625794138138952647452673891796481523
2,852763491136984257794521683283419576967835142415672839629348715378156924541297368
3,584362179672981534139457628417635892396824751258179463823746915965218347741593286
4,645138927379462158182597643951726384438951762267843591723685419514279836896314275
5,631578492859624371742319586396842157418753629275961834184237965967185243523496718
6,693251784248763519517849362461395278379628145852174936724516893136982457985437621
7,872459361514362978963871254297183546658724139431695782729548613145936827386217495
8,182695347364172859975348126536819472829437615741526983417263598698751234253984761
9,375912648968435217124876359749321865236598471581647932417283596853169724692754183
10,347186592295743168618592374531964827486257931972831456864379215153628749729415683
11,591468723382957164467132859214875396678349512935216478159683247846721935723594681
12,891357264254961387637482915542896173186273459379514628413728596765139842928645731
13,845972316271536984396148257158267493639451728427893561912784635783625149564319872
14,452368791187549326639172548341627859275981634896453217563814972718295463924736185
15,154238976932167845768594312549681237327945681681723594895416723216379458473852169
16,134629587896715432572483619763951248928364175415872963381596724257148396649237851
17,948731625651294837372586194134857962589623741267149583413978256795462318826315479
18,657319842129458673384276159945762318712843596836591427271684935463925781598137264
19,472189365986345721531627489614872953397564812825913647143298576258736194769451238
20,615387492748192563392456178527918634483765219961234785154879326836521947279643851
21,364278159187539624295641387526987413841362795739154862612493578458726931973815246
22,842937615159846723736125984274561398685394172391278456413752869927683541568419237
23,438127956176495832592368174857934621263851749941672385629743518384516297715289463
24,364928571917365482825741936279483165531276894486159723692814357153697248748532619
25,831692457425817963967345218346571829258963741179428635614759382593286174782134596
26,284753691193268754657914832576392418812547963349186275731829546425671389968435127
27,395281467271546938486739251643125879817694325952873146729358614568412793134967582
28,675241893312896745489735126746952381198463572523187469937524618254618937861379254
29,752648391386159247149732658523971864967284513814563972638415729271396485495827136
30,147536289382791456569248371976413528238975614415862793721384965854629137693157842
31,946527318521368479837149256654813927193472685278956143765291834482635791319784562
32,193487652576123948428956317641598273987342165235671489764839521819265734352714896
33,192465738586237491743819256315684972978523614624971583257348169439156827861792345
34,571638294486279351923145876245963718638517942719482635852794163367851429194326587
35,472583196615429837839716542167932458394857261258164973946278315781345629523691784
36,759823164248167953613549827571432698894675312362981745136754289925318476487296531
37,578621349149873256263495781957216834482359617631784925814937562396542178725168493
38,834576912795214683162839745521487396348965127679321458416752839287193564953648271
39,518273964349615827726984135185462379967538241234197586653729418472851693891346752
40,285194736473586291916372458862735149349261587157849362691423875724958613538617924
41,847596213615342978293781654589637421134825769726419385472153896958264137361978542
42,923456178167839542584217963798124635215693487346785291452368719631972854879541326
43,593718462678254931142369785827143659359672148461985327734821596215496873986537214
44,196824357473569218825371469931682574687945132254137986518296743762413895349758621
45,591374826837269154264185739618427395475931682329856417946513278783692541152748963
46,391765428756824193284913675549376281123498567867152934975231846638549712412687359
47,136982574458376129927415386782654913361798452594123768243567891815249637679831245
48,645132789781945236932768541497523618163897452258416973576389124324671895819254367
49,239461875468957321751382946317649258826513794594728613945876132672134589183295467
50,341265987768914352295783146426351798573829461819476523184532679657198234932647815
51,639127548541386927287549163856934271392761854174258396918675432463892715725413689
52,728691543914583672536274891387945126692138754451726389173452968269817435845369217
53,259817643143956287876342159718529364532684791964731825497168532625473918381295476
54,792154368654382917813697254489536721325971486176248539531469872247813695968725143
55,639475812251386749847129653578693421194257368362814597913568274426731985785942136
56,841793265392546187567218439156429873473851926928637541634185792785962314219374658
57,723164895985372164146589732314258679698417253572693418459721386267835941831946527
58,234916785895742136761358942328179654579624318416835279983567421152493867647281593
59,396541782185972634247386951538694217412758396679213548823169475761435829954827163
60,194573628863129574572486139741268953928315467356794281615847392289631745437952816
61,721356849845792136693814527286537491917428653354961278569143782138275964472689315
62,618325794254897631397416258435261879129758346786943512562139487841572963973684125
63,821597346769432815435186729592871463684253197317964258948315672173629584256748931
64,874956213356712984921438567468275391219384675537691842685127439143569728792843156
65,672345198134869257589127463916458372823791546457236819268914735745683921391572684
66,986725431174936528235148679349567812862413957517892346493671285728359164651284793
67,862391457175648392349752816291486573783215649456937128528169734914873265637524981
68,794138256216759843385246917547362198928417635163985724851693472432871569679524381
69,857642931296315487143798526719453862468927315532186794384561279921874653675239148
70,613542798452798136789316425391485672874269513265137984148953267926874351537621849
71,387615429145329867296874153572148936834296571619537284458761392721953648963482715
72,536978214749215386821364759654123897278549631913687425185736942362491578497852163
73,427318659689425317153679824841236795365947182792851463518793246934162578276584931
74,782451639519362748436798512671983254893245167254176983965837421327514896148629375
75,573864912941523687628791435254379168136458729897216354789132546415687293362945871
76,324198567791653482568427193856374219149862735273519648612935874435786921987241356
77,247958136569431287318672549472863915985124763631795428823549671794316852156287394
78,326894157814572369795613482942781536157369248638425791471936825589247613263158974
79,412389657685714392739265184346157829851692473927843516193428765564971238278536941
80,352467198718259634964183257426715389593842761187396425679524813845631972231978546
81,359274861182365479746189523514798236863421795297653184638542917421937658975816342
82,356417289984256173127389654712843596439675812865921437591764328678132945243598761
83,382497651457621398196538472761854923534972186829163745978315264243786519615249837
84,594367128823145967716982543238491756159726384467538219942813675685279431371654892
85,365789124472153968189624573534291786918467352726538419847916235651342897293875641
86,251348796984726531376519284695431872128697345743285619569173428417862953832954167
87,283461795196275834745983162964318257837652419512749683659124378478536921321897546
88,594167238783429165216538479127695843358741926469283517841356792675912384932874651
89,374695128652148739189273546521389467843762915967514283738451692496827351215936874
90,156372489782495136934168257578921643493687512621543798369214875815736924247859361
91,423168795178359246569247831951473628342685179786912453835726914617594382294831567
92,194582367276413895358769241832176954765948132941325678629857413513294786487631529
93,327591648819634752546728913285473169493186275761952834934867521652319487178245396
94,239654871168792453745813692514378926683249715927165348852437169491586237376921584
95,321469587586317429974285631143572896298634175657891342769143258832756914415928763
96,197845326235679418468132597319784265876253941524961873652418739981327654743596182
97,374265198198347256625918374236871945819524763457693812982156437543789621761432589
98,132569748857423619496187523578341962214698357963275184729816435381754296645932871
99,372548916986213754415769823138657249654892137297134685743981562521376498869425371
100,938521746421967538756438219143879652287356491695142873519284367372615984864793125
101,938547261741682593625931478872416935419753682563298147194375826287169354356824719
102,217438956854679213639125487426913578378562194195784632963257841741896325582341769
103,974623185816475239352198476695732814431986527728514693587361942143259768269847351
104,284957613156324789937618425312475896849163257765289341471896532598732164623541978
105,417583926852679341963241785546192837729836154138457269374968512681725493295314678
106,715469328984237516623185794167924853548316972239758461896541237452673189371892645
107,735269418684135792129847365457986123913572684862314957578491236241653879396728541
108,817265349329748561645391782263987154158426937794513628476132895931854276582679413
109,492513876851672439367894512514786293289341657736925184623157948148239765975468321
110,165794283894623751372851649513248976726519438489367512947186325231975864658432197
111,549312867387946251621758349158679423734521698296483175463895712972134586815267934
112,743895261295416378681237594157983426968524137432761985376152849529648713814379652
113,165723948973841265248965173529186734634572891817439526452317689396258417781694352
114,823751469591648237746392185682974351134285976975136824319527648467813592258469713
115,128674359546893127739521648415738962683249715972165834857312496291486573364957281
116,192356748347298561586147293258914376964783152731562984623879415475631829819425637
117,172963485964582713358174296619357842583241679247896351821435967436719528795628134
118,937684125165273498248915376826437951319562847574198632651329784792841563483756219
119,371486592928751463564239187297563841185974236436128975613895724759342618842617359
120,582139674146827935793456218457681329239745861618392547871963452965274183324518796
121,269317548471856239538942716387691425126584973954723681795238164842165397613479852
122,652817493197345268483296157574923816219684735836571924321768549968452371745139682
123,978136254241589637653724189164358792789241563325967841816492375432875916597613428
124,856132749943657182172849536267583491319274658485916327798465213624391875531728964
125,587246139193857264246319857912574386738162495465983712324698571671435928859721643
126,851932476943675218276184359698421537427358961315796824584267193169543782732819645
127,867549312459312678213687594924136785371258946586974231142763859795821463638495127
128,256938714738641925941725386872569143513274869469183572625897431397412658184356297
129,617495238329781456584362197841957623276813945935246871452678319763129584198534762
130,439152687172386594586479123658723941291645378347918265964831752823567419715294836
131,638591742957264831142378659263985174584712963719436285895623417326147598471859326
132,391647285247859316865321497924715638783296541156483972478532169612974853539168724
133,359471286284569137176328945742953618913682574865714392427195863531846729698237451
134,271943856964852173853761429632495781748216395519387642197624538385179264426538917
135,346871925591642738278953146867194352159326874423587619984735261712468593635219487
136,698574321125693847473218569742135698516789234839426175251967483984352716367841952
137,359827164162349758487615932635192487978436215241578396893264571726951843514783629
138,354769128698312475712485936145928367837146592926573814563897241479251683281634759
139,612785943374269815598134276429873561867541329153926784986312457231457698745698132
140,215896473697354821438271659782415396361982547954763182176528934823649715549137268
141,912748653738256914465391728127863495584179236693524871871432569246915387359687142
142,539217486174658239682349175827934561956871342413562897748195623395426718261783954
143,214693758756812439938457261541786392869321547327549186175964823493278615682135974
144,695213874142786953837954162269341587453897216781562349528479631376128495914635728
145,792143865183652497546789132871925643265431978439876251917568324624317589358294716
146,179684253632915748584273961417352689395861427268749315821437596953126874746598132
147,394518762268794315517632984635427198982153476741869253879346521456271839123985647
148,842561397956378241371429685519246873283197564764853129625714938498635712137982456
149,934816752256397148718524369327165984645983271189472635591638427862741593473259816
150,751634892638192547294587361546271938873945216912368754169823475485719623327456189
151,195487623468293571372651948537849162289136457641725389823964715756312894914578236
152,395167428784952163162843597923485716471236985658791234837519642549628371216374859
153,692413587854627193317895264765142938148936752923578641576284319439761825281359476
154,531924678947186325826573419265491837374852196198637542419765283752318964683249751
155,438752961192643587657819324289375416714296835563184279325467198846931752971528643
156,564289371382517964971436852729865413458371296136942785895623147613794528247158639
157,723419865958276134146853729694721358215348976837965412589637241471592683362184597
158,253746981794158623861932754129683547348517296675429138912364875486275319537891462
159,297341685164258379538679124625493718719862543483517962371924856946185237852736491
160,526174389437982516819536427942853761685417293371629854758361942193245678264798135
161,915432768743685219268917453591273684427896531836154972379521846652348197184769325
162,123698745985174326746523918568437291497812653231956874359261487614789532872345169
163,354176289197482356286593417463825791521947863978631542749368125835219674612754938
164,724618593691235487385794216943587621567321948218469735856142379172953864439876152
165,357962814482135697169748253928673145643519728571284936814326579296457381735891462
166,739215864614873529528964371267548913195637248843129756982456137356791482471382695
167,258917463914386572367452189172839654649725831835641297486173925593264718721598346
168,916354827425678931837291645578469213342817569169523784683745192794182356251936478
169,245791638167348295893562741689174523451239867372856914534627189916485372728913456
170,659328417127649853834157629348572961796814235512963748273485196465791382981236574
171,823145769671829453549376182468591327192783645357462891215634978984217536736958214
172,164873925573192648829546137958614273231759864647238591782361459415927386396485712
173,654128937829374156371695824967583241183942675542761389416837592235419768798256413
174,278613594196574328453298716647132985981457632325986471819745263764321859532869147
175,576241938124938765983675142261483579358197624749526813897312456435769281612854397
176,693218457142576839758943162986135274514792683237864591875429316329681745461357928
177,453678921976321485812594376127839654694752138538146297789413562361285749245967813
178,657432819391786425248951376129645738576328941483197562935214687862573194714869253
179,936257814827419356514638729148765932295341678673892541352984167781526493469173285
180,894753621123986754765214893648129537917835462352467189576342918289671345431598276
181,263178549987546231451923867742635918516897324839412756625781493174359682398264175
182,964213875713985246528764391136428957285697134497351628659872413372146589841539762
183,563829471879415263214763895142938756786152349935647182458391627327586914691274538
184,842561973531279648769834215458697132617325489923148567284756391195483726376912854
185,518392467963748521427516893374859612296174385185623749631285974842937156759461238
186,421865379789134256635927481892571643547396128316248597964712835178453962253689714
187,351842796426719853798536124584123679239675418167984532672358941913467285845291367
188,493157826657328941128649375516283794349716258872594613985462137764931582231875469
189,432756189876491523159832746514389672698275431327614958243167895981543267765928314
190,825493176173256489496178523912765834564382791387941652741829365258634917639517248
191,235684971896715243174239586613892457782541369549367128928473615357126894461958732
192,384961725769253184125478639471329568692785341538614297813542976256897413947136852
193,879142536561378924342569178134857692758296413926413857213984765497625381685731249
194,412657983873429651956813247534261879287945136169738425698574312325186794741392568
195,146532879298764135753198264871329456324651798965487321619873542587246913432915687
196,492316587615728394783495612971682435854973261326541879269857143137264958548139726
197,912385467367429581485167392678512934543796128129843756256974813894231675731658249
198,672539841548612937139748265914873526386125479725964183451387692297456318863291754
199,853762491219458763467139825586943172942817356731526948174285639628394517395671284
200,437218965816359742529647138795124683281763459643895217168932574974586321352471896
201,734291856561438279298567134473189562182645397956372481849713625315926748627854913
202,798536412146782359523419867317954628652873941984621573835167294461298735279345186
203,572413896816925734943687152789341265421576389635298417257839641198764523364152978
204,254871693193546278678932514421765389835419726967283451582394167746158932319627845
205,869157234372849615145632987493278156218365479657914823586423791934781562721596348
206,891264735754983126236571489972846513465132978318759264623415897147698352589327641
207,569213487378649251214758396752834619893561724146927835685492173437185962921376548
208,576341928938752614124968537285437169791286345463195872319524786647819253852673491
209,796183542385624197214597836152849673967315284843276915539761428478952361621438759
210,658149273712356984439872561871294356264537819395681742143725698586913427927468135
211,543687921729431586816295743168752394432169857975843162351924678694378215287516439
212,723965481486127953951483627167342895892756314534891276219674538345218769678539142
213,167432958835769241429581367283645179716923584594817632942376815358194726671258493
214,745618392839724165162593487296135874318472956574986231427369518951847623683251749
215,639718254751624839428953761276439518843561927915872643584196372397245186162387495
216,523718694164592783897436125352147869641289357789365241215874936476923518938651472
217,946251873817936245235487961368712594729845136451693728594378612172564389683129457
218,425673189397148526618925437246387915983516274571492863739851642152764398864239751
